
SO Tikolo,135,130,12,3428,111,29.05,4524,13,24,3,75.77
HH Dippenaar,107,95,14,3421,125,42.23,5047,4,26,4,67.78
A Flintoff,141,122,16,3394,123,32.01,3821,9,18,3,88.82
T Taibu,150,137,21,3393,107,29.25,5020,16,22,2,67.58
JJ Roy,84,81,2,3381,180,42.79,3148,7,18,9,107.4
KC Wessels,109,105,7,3367,107,34.35,6088,0,26,1,55.3
Babar Azam,74,72,10,3359,125,54.17,3857,2,15,11,87.08
AC Parore,179,161,32,3314,108,25.68,4867,19,14,1,68.09
Moin Khan,219,183,41,3266,72,23,4017,17,12,0,81.3
Kamran Akmal,157,138,14,3236,124,26.09,3855,10,10,5,83.94
AN Cook,92,92,4,3204,137,36.4,4154,7,19,5,77.13
HDRL Thirimanne,127,106,14,3194,139,34.71,4419,7,21,4,72.27
Umar Akmal,121,110,17,3194,102,34.34,3712,8,20,2,86.04
DI Gower,114,111,8,3170,158,30.77,4218,6,12,7,75.15
KR Rutherford,121,115,9,3143,108,29.65,4888,6,18,2,64.3
BJ Haddin,126,115,16,3122,110,31.53,3706,2,16,2,84.24
RJ Shastri,150,128,21,3108,109,29.04,5089,5,18,4,61.07
SM Gavaskar,108,102,14,3092,103,35.13,4966,8,27,1,62.26
DS Lehmann,117,101,22,3078,119,38.96,3784,4,17,4,81.34
DA Miller,126,110,31,3058,139,38.7,3054,8,12,5,100.13
GJ Bailey,90,85,10,3044,156,40.58,3645,3,22,3,83.51
SD Hope,72,67,10,3007,170,52.75,4046,4,15,8,74.32
V Sibanda,127,126,4,2994,116,24.54,4716,14,21,2,63.48
DJ Bravo,164,141,24,2968,112,25.36,3606,11,10,2,82.3
AM Rahane,90,87,3,2962,111,35.26,3767,6,24,3,78.63
HH Streak,189,159,55,2943,79,28.29,4008,6,13,0,73.42
WW Hinds,119,111,10,2880,127,28.51,4393,8,14,5,65.55
GJ Maxwell,110,100,11,2877,102,32.32,2332,9,19,1,123.37
JM Bairstow,74,68,8,2861,141,47.68,2749,5,11,9,104.07
DM Bravo,110,105,13,2839,124,30.85,4045,8,18,3,70.18
IJL Trott,68,65,10,2819,137,51.25,3658,5,22,4,77.06
AL Logie,158,133,36,2809,109,28.95,3801,13,14,1,73.9
AH Jones,87,87,9,2784,93,35.69,4811,4,25,0,57.86
Mohammad Nabi,124,112,12,2782,116,27.82,3252,6,15,1,85.54
SE Marsh,73,72,4,2773,151,40.77,3406,3,15,7,81.41
M Kaif,125,110,24,2753,111,32.01,3822,8,17,2,72.03
SV Carlisle,111,107,8,2740,121,27.67,4325,11,9,3,63.35
MDKJ Perera,98,93,5,2739,135,31.12,2945,8,14,5,93
Mohammad Shahzad,84,84,3,2727,131,33.66,3082,4,14,6,88.48
Salman Butt,78,78,4,2725,136,36.82,3572,15,14,8,76.28
RG Twose,87,81,11,2717,103,38.81,3603,5,20,1,75.4
GJ Whittall,147,142,22,2705,83,22.54,4011,12,11,0,67.43
RS Bopara,120,109,21,2695,101,30.62,3462,4,14,1,77.84
BA Stokes,95,81,15,2682,102,40.63,2855,5,20,3,93.94
Sikandar Raza,97,93,15,2656,141,34.05,3249,1,14,3,81.74
Mudassar Nazar,122,115,10,2653,95,25.26,5130,6,16,0,51.71
EC Joyce,78,77,8,2622,160,38,3630,5,15,6,72.23
Ahmed Shehzad,81,81,1,2605,124,32.56,3614,7,14,6,72.08
NJ O'Brien,103,101,9,2581,109,28.05,3638,3,18,1,70.94
Zaheer Abbas,62,60,6,2572,123,47.62,3033,2,13,7,84.8
CR Ervine,93,90,11,2571,130,32.54,3406,7,15,3,75.48
AC Hudson,89,88,1,2559,161,29.41,3960,6,18,2,64.62
TWM Latham,95,88,9,2550,137,32.27,3096,7,15,4,82.36
VG Kambli,104,97,21,2477,106,32.59,3443,4,14,2,71.94
Imrul Kayes,78,78,2,2434,144,32.02,3423,2,16,4,71.1
JDP Oram,160,116,15,2434,101,24.09,2810,8,13,1,86.61
TM Odoyo,136,119,16,2420,111,23.49,3438,13,8,1,70.38
AD Hales,70,67,3,2419,171,37.79,2527,5,14,6,95.72
RA Smith,71,70,8,2419,167,39.01,3473,4,15,4,69.65
L Vincent,102,99,10,2413,172,27.11,3453,8,11,3,69.88
KJ Coetzer,59,57,2,2409,156,43.8,2795,5,17,4,86.18
KA Pollard,107,99,7,2398,119,26.06,2547,13,10,3,94.14
CJ Chibhabha,103,103,2,2389,99,23.65,3784,7,16,0,63.13
GP Thorpe,82,77,13,2380,89,37.18,3344,3,21,0,71.17
Rahmat Shah,73,69,2,2359,114,35.2,3366,3,16,4,70.08
Asghar Afghan,111,105,9,2356,101,24.54,3531,7,12,1,66.72
VVS Laxman,86,83,7,2338,131,30.76,3282,3,10,6,71.23
RR Singh,136,113,23,2336,100,25.95,3144,5,9,1,74.3
N Hussain,88,87,10,2332,115,30.28,3481,6,16,1,66.99
GS Chappell,74,72,14,2331,138,40.18,3079,7,14,3,75.7
Sarfaraz Ahmed,116,90,22,2302,105,33.85,2622,1,11,2,87.79
SL Campbell,90,87,0,2283,105,26.24,3853,9,14,2,59.25
DL Vettori,295,187,57,2253,83,17.33,2715,23,4,0,82.98
S Matsikenyeri,113,110,9,2224,90,22.01,3072,8,13,0,72.39
GM Wood,83,77,11,2219,114,33.62,3725,4,11,3,59.57
NLTC Perera,161,128,16,2210,140,19.73,1979,11,10,1,111.67
MJ Greatbatch,84,83,5,2206,111,28.28,3099,7,13,2,71.18
JC Adams,127,105,28,2204,82,28.62,3614,7,14,0,60.98
Shahriar Nafees,75,75,5,2201,123,31.44,3167,11,13,4,69.49
D Ramdin,139,110,22,2200,169,25,2738,4,8,2,80.35
RA Jadeja,159,106,36,2188,87,31.25,2543,6,11,0,86.04
CS MacLeod,66,64,6,2175,175,37.5,2623,8,8,8,82.92
Habibul Bashar,111,105,5,2168,78,21.68,3586,18,14,0,60.45
